"region","file_name","result"
"asia","indi020.rwl","rwl"
"asia","indi021.rwl","rwl"
"asia","indi024.rwl","rwl"
"asia","indi025.rwl","rwl"
"asia","indo001.rwl","rwl"
"asia","indo002.rwl","rwl"
"asia","indo003.rwl","rwl"
"asia","indo004.rwl","rwl"
"asia","indo005.rwl","rwl"
"asia","indo006.rwl","rwl"
"asia","indo007.rwl","rwl"
"asia","indo008.rwl","rwl"
"asia","japa008.rwl","rwl"
"asia","japa008x.rwl","rwl"
"asia","japa010.rwl","rwl"
"asia","japa011.rwl","rwl"
"asia","japa012.rwl","rwl"
"asia","japa012x.rwl","rwl"
"asia","japa013.rwl","rwl"
"asia","japa013x.rwl","rwl"
"asia","japa014.rwl","rwl"
"asia","japa014x.rwl","rwl"
"asia","japa015.rwl","rwl"
"asia","japa015x.rwl","rwl"
"asia","japa016.rwl","rwl"
"asia","japa016x.rwl","rwl"
"asia","japa017.rwl","rwl"
"asia","japa017x.rwl","rwl"
"asia","japa018.rwl","rwl"
"asia","japa018x.rwl","rwl"
"asia","japa019.rwl","rwl"
"asia","japa020.rwl","rwl"
"asia","japa1.rwl","rwl"
"asia","jord001.rwl","rwl"
"asia","jord002.rwl","rwl"
"asia","jord003.rwl","rwl"
"asia","kaz001.rwl","rwl"
"asia","kaz002.rwl","rwl"
"asia","kaz003.rwl","rwl"
"asia","kore001.rwl","rwl"
"asia","kore002.rwl","rwl"
"asia","kore003.rwl","rwl"
"asia","kore004.rwl","rwl"
"asia","kore005.rwl","rwl"
"asia","kyrg001.rwl","rwl"
"asia","kyrg002.rwl","rwl"
"asia","kyrg003.rwl","rwl"
"asia","kyrg004.rwl","rwl"
"asia","kyrg005.rwl","rwl"
"asia","kyrg007.rwl","rwl"
"asia","kyrg008.rwl","rwl"
"asia","kyrg009.rwl","rwl"
"asia","kyrg010.rwl","rwl"
"asia","kyrg011.rwl","rwl"
"asia","kyrg012.rwl","rwl"
"asia","kyrg013.rwl","rwl"
"asia","kyrg014.rwl","rwl"
"asia","kyrg015.rwl","rwl"
"asia","lbn007.rwl","rwl"
"asia","lbn008.rwl","rwl"
"asia","lbn009.rwl","rwl"
"asia","lbn010.rwl","rwl"
"asia","lbn011.rwl","rwl"
"asia","lbn012.rwl","rwl"
"asia","leba001.rwl","rwl"
"asia","leba002.rwl","rwl"
"asia","leba003.rwl","rwl"
"asia","leba004.rwl","rwl"
"asia","leba005.rwl","rwl"
"asia","leba006.rwl","rwl"
"asia","ls001.rwl","rwl"
"asia","ls002.rwl","rwl"
"asia","mong001.rwl","rwl"
"asia","mong002.rwl","rwl"
"asia","mong003.rwl","rwl"
"asia","mong004.rwl","rwl"
"asia","mong005.rwl","rwl"
"asia","mong006.rwl","rwl"
"asia","mong007e.rwl","rwl"
"asia","mong007i.rwl","rwl"
"asia","mong007l.rwl","rwl"
"asia","mong007n.rwl","rwl"
"asia","mong007t.rwl","rwl"
"asia","mong007w.rwl","rwl"
"asia","mong007x.rwl","rwl"
"asia","mong008.rwl","rwl"
"asia","mong009.rwl","rwl"
"asia","mong010.rwl","rwl"
"asia","mong011.rwl","rwl"
"asia","mong012.rwl","rwl"
"asia","mong013.rwl","rwl"
"asia","mong014.rwl","rwl"
"asia","mong015.rwl","rwl"
"asia","mong016.rwl","rwl"
"asia","mong017.rwl","rwl"
"asia","mong018.rwl","rwl"
"asia","mong019.rwl","rwl"
"asia","mong020.rwl","rwl"
"asia","mong021.rwl","rwl"
"asia","mong022.rwl","rwl"
"asia","mong023.rwl","rwl"
"asia","mong024.rwl","rwl"
"asia","mong025.rwl","rwl"
"asia","mong026.rwl","rwl"
"asia","mong027.rwl","rwl"
"asia","mong028.rwl","rwl"
"asia","mong029.rwl","rwl"
"asia","mong030.rwl","rwl"
"asia","mong031.rwl","rwl"
"asia","mong032.rwl","rwl"
"asia","mong033.rwl","rwl"
"asia","mong034.rwl","rwl"
"asia","mong035.rwl","rwl"
"asia","mong036.rwl","rwl"
"asia","mong037.rwl","rwl"
"asia","mong038.rwl","rwl"
"asia","mong039.rwl","rwl"
"asia","mong040.rwl","rwl"
"asia","mong041.rwl","rwl"
"asia","mong042.rwl","rwl"
"asia","mong043b.rwl","rwl"
"asia","nepa001.rwl","rwl"
"asia","nepa001e.rwl","rwl"
"asia","nepa001l.rwl","rwl"
"asia","nepa001n.rwl","rwl"
"asia","nepa001p.rwl","rwl"
"asia","nepa001x.rwl","rwl"
"asia","nepa002.rwl","rwl"
"asia","nepa002e.rwl","rwl"
"asia","nepa002l.rwl","rwl"
"asia","nepa002n.rwl","rwl"
"asia","nepa002p.rwl","rwl"
"asia","nepa002x.rwl","rwl"
"asia","nepa003.rwl","rwl"
